measurement_id,sample_id,measurement_type,data.100_d_spacing.value,data.010_d_spacing.value,data.100_coherence_length.value,data.010_coherence_length.value,data.100_rdoc.value
914,23,giwaxs,18.4,3.43,,,
915,24,giwaxs,18.4,3.43,,,
916,25,giwaxs,18.4,3.43,,,
917,26,giwaxs,18.4,3.43,,,
918,27,giwaxs,18.4,3.43,,,
919,28,giwaxs,18.4,3.43,,,
920,29,giwaxs,18.4,3.43,,,
921,30,giwaxs,18.4,3.43,,,
922,31,giwaxs,18.4,3.43,,,
923,32,giwaxs,18.4,3.43,,,
924,33,giwaxs,18.4,3.43,,,
925,34,giwaxs,18.4,3.43,,,
926,35,giwaxs,,3.65,,,
927,51,giwaxs,21.82,,10.5,,0.457
928,53,giwaxs,21.23,,10.9,,0.82
929,54,giwaxs,21.23,3.7,11.0,,0.9
930,74,giwaxs,19.73,3.8,10.9,3.4,
931,75,giwaxs,19.53,3.88,4.65,4.0,
932,76,giwaxs,19.57,3.88,10.7,4.8,
933,77,giwaxs,18.76,,5.88,,
934,78,giwaxs,19.44,3.91,13.8,5.8,
935,83,giwaxs,,3.55,,,
936,84,giwaxs,,3.55,,,
937,85,giwaxs,,3.55,,,
938,86,giwaxs,,3.55,,,
939,87,giwaxs,,3.55,,,
940,88,giwaxs,,3.55,,,
941,89,giwaxs,,3.55,,,
942,90,giwaxs,,3.55,,,
943,91,giwaxs,,3.55,,,
944,92,giwaxs,,3.55,,,
945,93,giwaxs,,3.55,,,
946,94,giwaxs,,3.55,,,
947,95,giwaxs,,3.55,,,
948,96,giwaxs,,3.55,,,
949,97,giwaxs,,3.55,,,
950,98,giwaxs,,3.55,,,
951,99,giwaxs,,3.55,,,
952,100,giwaxs,,3.49,,,
953,101,giwaxs,,3.55,,,
954,102,giwaxs,,3.55,,,
955,103,giwaxs,,3.55,,,
956,104,giwaxs,,3.55,,,
957,105,giwaxs,,3.55,,,
958,106,giwaxs,,3.55,,,
959,107,giwaxs,,3.55,,,
960,108,giwaxs,,3.55,,,
961,109,giwaxs,,3.55,,,
962,110,giwaxs,,3.55,,,
963,111,giwaxs,,3.55,,,
964,112,giwaxs,,3.55,,,
965,113,giwaxs,,3.55,,,
966,114,giwaxs,,3.55,,,
967,115,giwaxs,,3.55,,,
968,116,giwaxs,,3.55,,,
969,117,giwaxs,,3.55,,,
970,118,giwaxs,,3.49,,,
971,120,giwaxs,19.6,3.7,7.96,2.47,
972,121,giwaxs,19.7,3.7,8.06,2.62,
973,122,giwaxs,19.6,3.7,8.04,2.61,
974,123,giwaxs,19.4,3.7,7.85,2.5,
975,124,giwaxs,19.3,,,,
976,127,giwaxs,20.2,3.8,,,
977,128,giwaxs,20.2,3.8,,,
978,129,giwaxs,22.9,3.545,,,
979,130,giwaxs,23.55,3.575,,,
980,131,giwaxs,22.9,3.54,,,
981,132,giwaxs,23.15,3.555,,,
982,133,giwaxs,22.9,3.54,,,
983,134,giwaxs,23.15,3.55,,,
984,192,giwaxs,24.2,4.1,208.0,15.5,
985,193,giwaxs,24.2,4.1,208.0,15.5,
986,194,giwaxs,24.2,4.1,208.0,15.5,
987,195,giwaxs,24.6,4.0,258.0,20.4,
988,196,giwaxs,24.6,4.0,258.0,20.4,
989,197,giwaxs,24.6,4.0,258.0,20.4,
990,198,giwaxs,24.7,4.0,243.0,18.7,
991,199,giwaxs,24.7,4.0,243.0,18.7,
992,200,giwaxs,24.7,4.0,243.0,18.7,
993,201,giwaxs,24.8,4.0,218.0,20.0,
994,202,giwaxs,24.8,4.0,218.0,20.0,
995,203,giwaxs,24.8,4.0,218.0,20.0,
996,204,giwaxs,24.8,4.0,214.0,18.1,
997,205,giwaxs,24.8,4.0,214.0,18.1,
998,206,giwaxs,24.8,4.0,214.0,18.1,
999,207,giwaxs,25.2,4.0,224.0,47.0,
1000,208,giwaxs,25.2,3.9,255.0,40.0,
1001,209,giwaxs,25.3,3.9,270.0,39.0,
1002,210,giwaxs,25.3,3.9,275.0,22.0,
1003,211,giwaxs,25.5,4.0,298.0,50.0,
1004,212,giwaxs,25.5,4.0,318.0,46.0,
1005,214,giwaxs,22.13,,115.4,,
1006,216,giwaxs,23.17,4.06,92.28,,
1007,218,giwaxs,26.17,4.01,43.89,,
1008,219,giwaxs,25.01,4.06,47.33,,
1009,228,giwaxs,,,251.0,20.0,
1010,229,giwaxs,,,251.0,20.0,
1011,230,giwaxs,,,185.0,15.0,
1012,231,giwaxs,,,91.0,,
1013,250,giwaxs,25.75,3.9,436.0,36.9,
1014,251,giwaxs,25.45,3.91,444.0,35.5,
1015,252,giwaxs,25.48,3.91,452.0,34.7,
1016,253,giwaxs,25.46,3.9,457.0,32.6,
1017,254,giwaxs,25.43,3.9,429.0,31.4,
1018,255,giwaxs,25.41,3.9,357.0,27.7,
1019,256,giwaxs,25.51,3.9,347.0,20.8,
1020,257,giwaxs,25.3,,268.0,,
1021,329,giwaxs,23.15,,,,
1022,330,giwaxs,23.51,3.92,,,
1023,331,giwaxs,23.47,3.95,,,
1024,332,giwaxs,23.29,3.94,,,
1025,333,giwaxs,24.65,3.95,,,
1026,334,giwaxs,23.46,3.96,,,
