measurement_id,sample_id,measurement_type,data.electron_mobility.value,data.electron_mobility.error,data.electron_threshold_voltage.value,data.on_off_current.value,meta.mobility_regime,meta.environment,meta.subthreshold_voltage,meta.Vds,meta.Vg_range,meta.temperature
414,24,transfer_curve,1.35,,,55000000.0,saturation,air,0.9,-60.0,"[-60,10]",
415,25,transfer_curve,1.75,,,55000000.0,saturation,air,0.9,-60.0,"[-60,10]",
416,26,transfer_curve,2.25,,,50500000.0,saturation,air,1.2,-80.0,"[-30,5]",
417,27,transfer_curve,2.55,,,50500000.0,saturation,air,1.05,-80.0,"[-30,5]",
418,28,transfer_curve,2.65,,,50500000.0,saturation,air,1.05,-80.0,"[-30,5]",
419,29,transfer_curve,0.03,,40.0,,saturation,nitrogen,,-40.0,"[-40,20]",77.0
420,30,transfer_curve,0.225,,38.0,,saturation,nitrogen,,-40.0,"[-40,20]",227.0
421,31,transfer_curve,1.2,,60.0,,saturation,nitrogen,,-40.0,"[-40,20]",377.0
422,32,transfer_curve,0.9,,,5500000.0,saturation,air,1.1,-60.0,"[-60,10]",
423,33,transfer_curve,1.1,,,550000.0,saturation,air,1.1,-60.0,"[-60,10]",
424,34,transfer_curve,1.8,,,50000000.0,saturation,air,1.65,-60.0,"[-40,5]",
425,51,transfer_curve,0.104,0.024,14.0,,saturation,nitrogen,,-30.0,"[-30,0]",
426,52,transfer_curve,0.0716,0.02,15.2,,saturation,nitrogen,,-30.0,"[-30,0]",
427,53,transfer_curve,0.0206,0.013,14.07,,saturation,nitrogen,,-30.0,"[-30,0]",
428,54,transfer_curve,0.0099,0.003,15.0,,saturation,nitrogen,,-30.0,"[-30,0]",
429,74,transfer_curve,1.0,,,,saturation,nitrogen,,-100.0,"[-100,100]",
430,75,transfer_curve,0.35,,,,saturation,nitrogen,,-100.0,"[-100,100]",
431,76,transfer_curve,0.01,,,,saturation,nitrogen,,-100.0,"[-100,100]",
432,77,transfer_curve,0.0,,,,saturation,nitrogen,,-100.0,"[-100,100]",
433,78,transfer_curve,0.0,,,,saturation,nitrogen,,-100.0,"[-100,100]",
434,79,transfer_curve,0.06,,,100000.0,saturation,,,-40.0,"[-20,40]",
435,80,transfer_curve,8e-06,,,100000.0,saturation,,,-40.0,"[-20,40]",
436,81,transfer_curve,0.0,,,,saturation,nitrogen,,-60.0,"[-60,20]",
437,82,transfer_curve,0.24,,,,saturation,nitrogen,,-60.0,"[-60,60]",
438,125,transfer_curve,0.02,0.003,24.0,1000000.0,saturation,nitrogen,,,"[-100,40]",
439,126,transfer_curve,0.02,0.002,32.0,1000000.0,saturation,nitrogen,,,"[-100,40]",
440,127,transfer_curve,0.29,0.06,10.0,1000000.0,saturation,nitrogen,,,"[-100,40]",
441,128,transfer_curve,1.56,0.49,0.0,1000000.0,saturation,nitrogen,,,"[-100,40]",
442,179,transfer_curve,0.38,,,,saturation,air,,100.0,"[-20,100]",
443,180,transfer_curve,0.64,,,,saturation,air,,100.0,"[-20,100]",
444,181,transfer_curve,0.0005,,,,saturation,air,,100.0,"[-20,100]",
445,182,transfer_curve,0.0001,,,,saturation,air,,100.0,"[-20,100]",
446,183,transfer_curve,0.25,,,,saturation,air,,100.0,"[-20,100]",
447,184,transfer_curve,0.3,,,,saturation,air,,100.0,"[-20,100]",
448,185,transfer_curve,0.275,,,,saturation,air,,100.0,"[-20,100]",
449,186,transfer_curve,0.0125,,,,saturation,air,,100.0,"[-20,100]",
450,187,transfer_curve,0.23,,,,saturation,air,,100.0,"[-20,100]",
451,188,transfer_curve,0.2,,,,saturation,air,,100.0,"[-20,100]",
452,189,transfer_curve,0.15,,,,saturation,air,,100.0,"[-20,100]",
453,190,transfer_curve,0.015,,,,saturation,air,,100.0,"[-20,100]",
454,191,transfer_curve,0.0001,,,,saturation,nitrogen,,100.0,"[-20,100]",
455,192,transfer_curve,0.26,,,100000.0,saturation,nitrogen,,60.0,"[-20,60]",
456,193,transfer_curve,0.3,,,100000.0,saturation,nitrogen,,60.0,"[-20,60]",
457,194,transfer_curve,0.26,,,100000.0,saturation,nitrogen,,60.0,"[-20,60]",
458,195,transfer_curve,0.21,,,,saturation,nitrogen,,60.0,"[-20,60]",
459,196,transfer_curve,0.2,,,,saturation,nitrogen,,60.0,"[-20,60]",
460,197,transfer_curve,0.21,,,,saturation,nitrogen,,60.0,"[-20,60]",
461,198,transfer_curve,0.2,,,,saturation,nitrogen,,60.0,"[-20,60]",
462,199,transfer_curve,0.21,,,,saturation,nitrogen,,60.0,"[-20,60]",
463,200,transfer_curve,0.23,,,,saturation,nitrogen,,60.0,"[-20,60]",
464,201,transfer_curve,0.19,,,,saturation,nitrogen,,60.0,"[-20,60]",
465,202,transfer_curve,0.2,,,,saturation,nitrogen,,60.0,"[-20,60]",
466,203,transfer_curve,0.26,,,,saturation,nitrogen,,60.0,"[-20,60]",
467,204,transfer_curve,0.15,,,,saturation,nitrogen,,60.0,"[-20,60]",
468,205,transfer_curve,0.17,,,,saturation,nitrogen,,60.0,"[-20,60]",
469,206,transfer_curve,0.22,,,,saturation,nitrogen,,60.0,"[-20,60]",
470,207,transfer_curve,0.29,,5.2,5500.0,saturation,,,60.0,"[-20,60]",
471,208,transfer_curve,0.21,,4.8,5500.0,saturation,,,60.0,"[-20,60]",
472,209,transfer_curve,0.43,,6.5,10000.0,saturation,,,60.0,"[-20,60]",
473,210,transfer_curve,0.31,,5.1,55000.0,saturation,,,60.0,"[-20,60]",
474,211,transfer_curve,0.55,,6.2,100000.0,saturation,,,60.0,"[-20,60]",
475,212,transfer_curve,0.56,,5.0,100000.0,saturation,,,60.0,"[-20,60]",
476,213,transfer_curve,0.05,,16.69,1000.0,saturation,,,60.0,"[-10,60]",
477,214,transfer_curve,0.07,,7.17,10000.0,saturation,,,60.0,"[-10,60]",
478,215,transfer_curve,0.28,,17.78,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
479,216,transfer_curve,2.53,,23.16,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
480,217,transfer_curve,0.92,,20.02,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
481,218,transfer_curve,2.03,,24.52,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
482,219,transfer_curve,0.56,,20.68,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
483,220,transfer_curve,0.2,,17.25,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
484,221,transfer_curve,0.1,,15.6,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
485,222,transfer_curve,0.08,,16.5,10000.0,saturation,nitrogen,,60.0,"[-10,60]",
486,223,transfer_curve,0.25,,12.5,10000.0,saturation,,,60.0,"[-10,60]",
487,224,transfer_curve,0.26,,24.1,1000.0,saturation,,,60.0,"[-10,60]",
488,225,transfer_curve,0.33,,13.9,10000.0,saturation,,,60.0,"[-10,60]",
489,226,transfer_curve,0.21,,4.4,100000.0,saturation,,,60.0,"[-10,60]",
490,227,transfer_curve,0.12,,4.5,100000.0,saturation,,,60.0,"[-10,60]",
491,228,transfer_curve,0.022,,,,saturation,air,,60.0,"[-60,30]",
492,230,transfer_curve,0.017,,,,saturation,air,,60.0,"[-60,30]",
493,231,transfer_curve,0.09,,,,saturation,air,,60.0,"[-60,30]",
494,232,transfer_curve,0.1,,,,saturation,air,,60.0,"[-60,30]",
495,233,transfer_curve,0.053,,,,saturation,air,,60.0,"[-60,30]",
496,234,transfer_curve,0.027,,,,saturation,air,,60.0,"[-60,30]",
497,235,transfer_curve,0.3,,,,saturation,air,,60.0,"[-10,60]",
498,237,transfer_curve,0.13,,,,saturation,air,,60.0,"[-10,60]",
499,238,transfer_curve,0.13,,,,saturation,air,,60.0,"[-10,60]",
500,239,transfer_curve,0.1,,,,saturation,air,,60.0,"[-10,60]",
501,240,transfer_curve,0.11,,,,saturation,air,,60.0,"[-10,60]",
502,241,transfer_curve,0.04,,,,saturation,air,,60.0,"[-10,60]",
503,242,transfer_curve,0.19,,,,saturation,,,60.0,"[-10,60]",
504,243,transfer_curve,0.11,,,,saturation,,,60.0,"[-10,60]",
505,244,transfer_curve,0.12,,,,saturation,,,60.0,"[-10,60]",
506,245,transfer_curve,0.03,,,,saturation,,,60.0,"[-10,60]",
507,246,transfer_curve,0.23,,,,saturation,,,60.0,"[-10,60]",
508,247,transfer_curve,0.19,,,,saturation,,,60.0,"[-10,60]",
509,248,transfer_curve,0.13,,,,saturation,,,60.0,"[-10,60]",
510,249,transfer_curve,0.09,,,,saturation,,,60.0,"[-10,60]",
511,250,transfer_curve,0.385,,2.52,,saturation,nitrogen,,,,
512,251,transfer_curve,0.3025,,1.22,,saturation,nitrogen,,,,
513,252,transfer_curve,0.27,,1.26,,saturation,nitrogen,,,,
514,253,transfer_curve,0.2286,,3.94,,saturation,nitrogen,,,,
515,254,transfer_curve,0.1886,,2.38,,saturation,nitrogen,,,,
516,255,transfer_curve,0.1763,,3.26,,saturation,nitrogen,,,,
517,256,transfer_curve,0.0981,,2.23,,saturation,nitrogen,,,,
518,257,transfer_curve,0.0253,,5.54,,saturation,nitrogen,,,,
519,258,transfer_curve,0.0087,,14.73,,saturation,nitrogen,,,,
520,259,transfer_curve,0.0076,,13.91,,saturation,nitrogen,,,,
521,260,transfer_curve,0.0015,,7.58,,saturation,nitrogen,,,,
522,261,transfer_curve,0.0023,,0.23,,saturation,nitrogen,,,,
523,264,transfer_curve,0.12,,,,saturation,nitrogen,,60.0,"[-10,80]",
524,265,transfer_curve,0.6,,,,saturation,nitrogen,,60.0,"[-10,80]",
525,266,transfer_curve,0.11,,,,saturation,nitrogen,,60.0,"[-10,80]",
526,267,transfer_curve,0.95,,,,saturation,nitrogen,,60.0,"[-10,80]",
527,268,transfer_curve,2.5,,,,saturation,,,60.0,"[-20,60]",
528,269,transfer_curve,0.242,0.08,,,linear,,,50.0,"[-10,50]",
