measurement_id,sample_id,measurement_type,data.hole_mobility.value,data.hole_mobility.error,data.hole_threshold_voltage.value,data.on_off_current.value,meta.mobility_regime,meta.environment,meta.subthreshold_voltage,meta.direction,meta.Vds,meta.Vg_range,meta.temperature
1,1,transfer_curve,0.11,,,380.0,saturation,air,8.3,,,"[-60,30]",
2,2,transfer_curve,0.29,,,160000.0,saturation,air,2.6,,,"[-60,30]",
3,3,transfer_curve,0.23,,,230000.0,saturation,air,2.4,,,"[-60,30]",
4,4,transfer_curve,0.73,,,610000.0,saturation,air,2.2,,,"[-60,30]",
5,5,transfer_curve,1.86,,,16000.0,saturation,air,3.0,,,"[-60,30]",
6,6,transfer_curve,0.21,,,74000.0,saturation,air,3.3,,,"[-60,30]",
7,7,transfer_curve,0.34,,,8000.0,saturation,air,5.7,,,"[-60,30]",
8,8,transfer_curve,0.24,,,140000.0,saturation,air,2.3,,,"[-60,30]",
9,9,transfer_curve,1.97,,,1300000.0,saturation,air,2.2,,,"[-60,30]",
10,10,transfer_curve,0.69,,,670000.0,saturation,air,2.1,,,"[-60,30]",
11,11,transfer_curve,2.04,,,1500000.0,saturation,air,2.1,,,"[-60,30]",
12,12,transfer_curve,0.81,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
13,13,transfer_curve,1.53,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
14,14,transfer_curve,0.9,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
15,15,transfer_curve,1.1,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
16,16,transfer_curve,1.25,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
17,17,transfer_curve,1.3,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
18,18,transfer_curve,1.25,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
19,19,transfer_curve,0.9,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
20,20,transfer_curve,0.6,,,,saturation,nitrogen,,,-80.0,"[-80,10]",
21,21,transfer_curve,1.0,,,,saturation,air,,,,,
