measurement_id,sample_id,measurement_type,data.thickness.value
594,1,thickness,40.0
595,2,thickness,40.0
596,3,thickness,40.0
597,4,thickness,40.0
598,5,thickness,40.0
599,6,thickness,40.0
600,7,thickness,40.0
601,8,thickness,40.0
602,9,thickness,40.0
603,10,thickness,40.0
604,11,thickness,40.0
605,12,thickness,45.0
606,13,thickness,1350.0
607,23,thickness,100.0
608,24,thickness,100.0
609,25,thickness,100.0
610,26,thickness,100.0
611,27,thickness,100.0
612,28,thickness,100.0
613,29,thickness,100.0
614,30,thickness,100.0
615,31,thickness,100.0
616,32,thickness,100.0
617,33,thickness,100.0
618,34,thickness,100.0
619,35,thickness,50.0
620,37,thickness,50.0
621,43,thickness,50.0
622,44,thickness,50.0
623,45,thickness,50.0
624,46,thickness,50.0
625,47,thickness,50.0
626,48,thickness,50.0
627,49,thickness,50.0
628,50,thickness,50.0
629,51,thickness,16.0
630,52,thickness,30.0
631,53,thickness,60.0
632,54,thickness,100.0
633,58,thickness,3.5
634,59,thickness,7.5
635,60,thickness,13.0
636,61,thickness,27.0
637,62,thickness,42.0
638,63,thickness,3.5
639,64,thickness,7.5
640,65,thickness,13.0
641,66,thickness,27.0
642,67,thickness,42.0
643,74,thickness,100.0
644,75,thickness,100.0
645,76,thickness,100.0
646,83,thickness,33.5
647,84,thickness,46.9
648,85,thickness,56.95
649,86,thickness,67.0
650,87,thickness,80.4
651,88,thickness,93.8
652,89,thickness,107.2
653,90,thickness,120.6
654,91,thickness,167.5
655,92,thickness,33.5
656,93,thickness,46.9
657,94,thickness,56.95
658,95,thickness,67.0
659,96,thickness,80.4
660,97,thickness,93.8
661,98,thickness,107.2
662,99,thickness,120.6
663,100,thickness,167.5
664,101,thickness,20.1
665,102,thickness,33.5
666,103,thickness,46.9
667,104,thickness,56.95
668,105,thickness,67.0
669,106,thickness,80.4
670,107,thickness,93.8
671,108,thickness,107.2
672,109,thickness,120.6
673,110,thickness,167.5
674,111,thickness,20.1
675,112,thickness,33.5
676,113,thickness,46.9
677,114,thickness,67.0
678,115,thickness,80.4
679,116,thickness,93.8
680,117,thickness,120.6
681,118,thickness,167.5
682,119,thickness,45.0
683,120,thickness,55.0
684,121,thickness,75.0
685,122,thickness,115.0
686,123,thickness,160.0
687,124,thickness,55.0
688,125,thickness,40.0
689,126,thickness,40.0
690,127,thickness,40.0
691,128,thickness,40.0
692,129,thickness,56.0
693,130,thickness,56.0
694,131,thickness,72.0
695,132,thickness,72.0
696,133,thickness,176.9
697,134,thickness,176.9
698,135,thickness,60.0
699,136,thickness,13.0
700,137,thickness,75.0
701,138,thickness,165.0
702,179,thickness,42.5
703,183,thickness,50.0
704,184,thickness,40.0
705,187,thickness,50.0
706,188,thickness,40.0
707,242,thickness,5.0
708,243,thickness,12.0
709,244,thickness,17.0
710,245,thickness,30.0
711,246,thickness,5.0
712,247,thickness,12.0
713,248,thickness,17.0
714,249,thickness,20.0
715,264,thickness,40.0
716,265,thickness,40.0
717,266,thickness,40.0
718,267,thickness,40.0
719,268,thickness,160.0
720,342,thickness,27.5
721,343,thickness,20.0
722,344,thickness,27.5
723,345,thickness,20.0
724,346,thickness,27.5
725,347,thickness,20.0
726,348,thickness,27.5
727,349,thickness,20.0
728,350,thickness,130.0
729,351,thickness,130.0
730,352,thickness,40.0
731,353,thickness,40.0
732,354,thickness,40.0
733,355,thickness,40.0
734,356,thickness,40.0
735,357,thickness,40.0
736,358,thickness,40.0
737,359,thickness,40.0
738,360,thickness,40.0
739,361,thickness,35.0
740,362,thickness,35.0
741,363,thickness,35.0
742,364,thickness,35.0
743,365,thickness,35.0
744,366,thickness,35.0
745,367,thickness,35.0
746,368,thickness,35.0
747,369,thickness,35.0
748,370,thickness,35.0
749,371,thickness,35.0
750,372,thickness,35.0
751,373,thickness,35.0
752,374,thickness,35.0
753,375,thickness,35.0
754,376,thickness,35.0
755,377,thickness,35.0
756,378,thickness,35.0
757,379,thickness,35.0
758,380,thickness,35.0
759,381,thickness,35.0
760,382,thickness,35.0
761,383,thickness,35.0
762,384,thickness,35.0
763,385,thickness,35.0
764,386,thickness,35.0
765,387,thickness,35.0
766,388,thickness,35.0
767,389,thickness,35.0
768,390,thickness,35.0
769,391,thickness,35.0
770,392,thickness,35.0
771,393,thickness,35.0
772,394,thickness,35.0
773,395,thickness,35.0
774,396,thickness,35.0
775,397,thickness,35.0
776,398,thickness,35.0
777,399,thickness,35.0
778,400,thickness,35.0
779,401,thickness,35.0
780,402,thickness,35.0
781,403,thickness,35.0
782,404,thickness,35.0
783,405,thickness,35.0
784,406,thickness,35.0
785,407,thickness,35.0
786,408,thickness,35.0
787,426,thickness,20.0
788,427,thickness,20.0
789,428,thickness,20.0
790,429,thickness,20.0
791,430,thickness,20.0
792,431,thickness,20.0
793,432,thickness,20.0
794,433,thickness,20.0
795,434,thickness,20.0
796,435,thickness,20.0
797,436,thickness,20.0
798,437,thickness,20.0
799,438,thickness,20.0
800,439,thickness,20.0
801,440,thickness,20.0
802,441,thickness,20.0
803,442,thickness,20.0
804,443,thickness,20.0
805,444,thickness,20.0
806,445,thickness,20.0
807,446,thickness,20.0
808,447,thickness,20.0
809,448,thickness,20.0
810,449,thickness,20.0
811,450,thickness,20.0
812,451,thickness,20.0
813,452,thickness,20.0
814,453,thickness,20.0
815,461,thickness,10.0
816,462,thickness,10.0
817,463,thickness,10.0
818,464,thickness,10.0
819,465,thickness,10.0
820,466,thickness,45.0
821,467,thickness,45.0
822,468,thickness,45.0
823,469,thickness,45.0
824,470,thickness,45.0
825,471,thickness,45.0
826,472,thickness,45.0
827,473,thickness,45.0
828,474,thickness,45.0
829,475,thickness,45.0
830,476,thickness,45.0
831,477,thickness,35.0
832,478,thickness,35.0
833,479,thickness,35.0
834,480,thickness,35.0
835,481,thickness,35.0
836,482,thickness,35.0
837,483,thickness,35.0
838,484,thickness,35.0
839,485,thickness,35.0
840,486,thickness,35.0
841,487,thickness,35.0
842,488,thickness,35.0
843,493,thickness,32.0
844,494,thickness,32.0
845,495,thickness,32.0
846,496,thickness,32.0
847,497,thickness,32.0
848,498,thickness,32.0
849,499,thickness,32.0
850,500,thickness,32.0
851,501,thickness,90.0
852,502,thickness,90.0
853,509,thickness,15.0
854,510,thickness,15.0
855,511,thickness,15.0
856,512,thickness,15.0
857,513,thickness,15.0
858,514,thickness,15.0
859,515,thickness,15.0
860,516,thickness,15.0
861,517,thickness,15.0
862,518,thickness,15.0
863,519,thickness,15.0
864,520,thickness,15.0
865,521,thickness,15.0
866,522,thickness,50.0
867,523,thickness,50.0
868,524,thickness,50.0
869,525,thickness,50.0
870,526,thickness,50.0
871,527,thickness,50.0
872,528,thickness,50.0
873,529,thickness,50.0
874,530,thickness,50.0
875,531,thickness,50.0
876,532,thickness,50.0
877,533,thickness,50.0
878,534,thickness,50.0
879,535,thickness,45.0
880,536,thickness,45.0
881,537,thickness,45.0
882,538,thickness,45.0
883,539,thickness,45.0
884,540,thickness,45.0
885,541,thickness,45.0
886,542,thickness,45.0
887,543,thickness,40.0
888,544,thickness,40.0
889,545,thickness,40.0
890,546,thickness,40.0
891,547,thickness,40.0
892,548,thickness,38.0
893,549,thickness,38.0
894,550,thickness,38.0
895,551,thickness,38.0
896,552,thickness,38.0
