exp_id,citation_type,meta.publication_type,meta.lab_notebook_page,meta.doi
1,literature,journal_article,,10.1039/C5TC02579F
2,literature,journal_article,,10.1021/acs.chemmater.7b03019
3,literature,journal_article,,10.1021/acs.chemmater.8b05224
4,literature,journal_article,,10.1038/srep00754 
5,literature,journal_article,,10.1038/srep24476 
6,literature,journal_article,,10.1016/j.cplett.2020.137507 
7,literature,journal_article,,10.1021/acs.chemmater.0c02199 
8,literature,journal_article,,10.1016/j.spmi.2018.12.022 
9,literature,journal_article,,10.1039/c8sm02517g 
10,literature,journal_article,,10.1002/adfm.201909787
11,literature,journal_article,,10.1063/1.5135977 
12,literature,journal_article,,10.1063/1.5135977
13,literature,journal_article,,10.1039/c5tc02133b 
14,literature,journal_article,,10.1039/c3nr03989g 
15,literature,journal_article,,10.1021/acsami.8b03288 
16,literature,journal_article,,10.1021/acsami.7b08133 
17,literature,journal_article,,10.1021/acsami.7b08133
18,literature,journal_article,RV_1.99,10.1021/acsmaterialslett.1c00320
19,literature,journal_article,,10.1126/sciadv.1600076
20,literature,journal_article,,10.1002/adma.201102786
21,literature,journal_article,,10.1038/ncomms16070
22,literature,journal_article,,10.1002/adfm.201706372
23,laboratory,,RV_1.120,
24,laboratory,,RV_1.127,
25,laboratory,,RV_1.130,
26,laboratory,,RV_1.134,
27,laboratory,,RV_1.144,
28,laboratory,,RV_1.149,
29,laboratory,,RV_1.163,
30,laboratory,,RV_1.164,
31,laboratory,,RV_1.167,
32,laboratory,,RV_1.168,
33,literature,journal_article,,10.1021/am507759u
34,literature,journal_article,,10.1002/adfm.201604744
35,literature,journal_article,,10.1002/aelm.201700559
36,literature,journal_article,,10.1021/acsami.0c07385
37,literature,journal_article,,10.1021/acs.chemmater.8b05114
38,literature,journal_article,,10.1073/pnas.1501381112
39,literature,journal_article,,10.1002/aelm.202101324
40,literature,journal_article,,10.1021/acs.macromol.1c01661
41,literature,journal_article,,10.1021/acs.chemmater.5b03775
42,literature,journal_article,,10.1063/1.3424792
43,literature,journal_article,,10.1038/srep03425
44,literature,journal_article,,10.1039/C4TC00390J
45,literature,journal_article,,10.1021/acsapm.2c00554
46,literature,journal_article,,10.1021/acs.macromol.1c02329
47,literature,journal_article,,10.1038/s41598-020-60812-x
48,literature,journal_article,,10.1002/adfm.201807786
49,literature,journal_article,,10.1002/adfm.201002729
50,literature,journal_article,,10.1021/am3027822
51,literature,journal_article,,10.1016/j.orgel.2011.06.027
52,literature,journal_article,,10.1021/cm049617w
53,literature,journal_article,,10.1103/PhysRevB.74.115318
54,literature,journal_article,,10.1021/nn401323f
55,literature,journal_article,,10.1063/1.2400796
56,literature,journal_article,,10.1002/adfm.201403708
57,literature,journal_article,,10.1007/s11801-011-0122-z
58,literature,journal_article,,10.1002/adma.200305275
59,literature,journal_article,,10.1021/ma047415f
60,literature,journal_article,,10.1021/ma2000515
61,literature,journal_article,,10.5012/bkcs.2014.35.88.22770
62,literature,journal_article,,10.1021/jp4116047
63,literature,journal_article,,10.1002/polb.23022
64,literature,journal_article,,10.1063/1.2222065
65,literature,journal_article,,10.1016/j.synthmet.2006.04.013
66,literature,journal_article,,10.1002/adfm.200400017
67,literature,journal_article,,10.1002/adfm.201301007
