film_deposition_id,deposition_type,params.spin_rate,params.spin_time,params.blade_height,params.coating_speed,params.blade_angle,params.coating_time,params.coating_direction,params.environment,params.temperature
1,spin,1000.0,,,,,,,air,
2,spin,1500.0,60.0,,,,,,air,
3,spin,,,,,,,,air,
4,blade,,,,,,,,air,
5,inkjet,,,,,,,,air,
6,spin,1500.0,150.0,,,,,,air,
7,spin,1000.0,120.0,,,,,,air,
8,spin,2000.0,240.0,,,,,,air,
9,spin,800.0,240.0,,,,,,air,
10,spin,1000.0,60.0,,,,,,air,
11,spin,1500.0,30.0,,,,,,air,
12,blade,,,100.0,0.5,8.0,,parallel,air,25.0
13,blade,,,100.0,0.5,8.0,,perpendicular,air,25.0
14,spin,3000.0,60.0,,,,,,air,25.0
15,spin,1000.0,60.0,,,,,,,
16,blade,,,100.0,0.5,7.0,,parallel,,25.0
17,blade,,,100.0,0.5,7.0,,perpendicular,,25.0
18,wire,,,,80.0,90.0,,perpendicular,air,56.0
19,spin,,,,,,,,air,100.0
20,spin,,,,,,,,nitrogen,
21,spin,1500.0,150.0,,,,,,air,
22,blade,,,,5.0,90.0,,perpendicular,air,56.0
23,blade,,,,2.0,90.0,,perpendicular,air,56.0
24,spin,2000.0,60.0,,,,,,nitrogen,
25,spin,12000.0,60.0,,,,,,air,
26,spin,2000.0,60.0,,,,,,air,
27,spin,8000.0,60.0,,,,,,air,
28,blade,,,100.0,2.0,8.0,,,,25.0
29,blade,,,100.0,2.0,8.0,,,,50.0
30,blade,,,100.0,2.0,8.0,,,,75.0
31,blade,,,100.0,2.0,8.0,,,,100.0
32,blade,,,100.0,2.0,8.0,,,,125.0
33,spin,2000.0,60.0,,,,,,,
34,spin,1000.0,90.0,,,,,,,
35,water,,,,,,,,,
36,spin,,,,,,,,,
37,spin,1500.0,,,,,,perpendicular,nitrogen,
38,spin,1500.0,,,,,,parallel,nitrogen,
39,spin,1000.0,60.0,,,,,,nitrogen,
40,roll_to_roll,,,,3.0,,,,,
41,blade,,,,0.02,,,parallel,,
42,blade,,,,0.02,,,perpendicular,,
43,blade,,,50.0,0.5,75.0,,perpendicular,,
44,blade,,,50.0,0.5,75.0,,parallel,,
45,drop,,,,,,,,air,
46,spin,1000.0,60.0,,,,,,,25.0
47,spin,1000.0,60.0,,,,,,,60.0
48,spin,1000.0,60.0,,,,,,,80.0
49,spin,1000.0,60.0,,,,,,,100.0
50,spin,1000.0,60.0,,,,,,,120.0
51,spin,1000.0,60.0,,,,,,,150.0
52,spin,1500.0,,,,,,,air,
53,spin,1500.0,,,,,,,nitrogen,
54,dip,,,,,,1.0,,nitrogen,
55,spin,900.0,,,,,,,air,
56,spin,1500.0,,,,,,,vacuum,
57,drop,,,,,,,,nitrogen,
58,dip,,,,60.0,,,,nitrogen,
59,dip,,,,60.0,,,,,
60,spin,800.0,26.0,,,,,,,
61,spin,2500.0,,,,,,,nitrogen,
62,spin,2000.0,,,,,,,nitrogen,
63,spin,,,,,,,,,
64,dip,1500.0,,,,,,,nitrogen,
65,spin,4000.0,60.0,,,,,,nitrogen,
66,drop,,,,60.0,,,,nitrogen,
67,spin,300.0,30.0,,,,,,air,
68,dip,,,,12.0,,,,air,
69,spin,,,,,,,,nitrogen,
70,spin,1000.0,30.0,,,,,,air,
