process_id,solution_id,device_fab_id,solution_treatment_id,substrate_pretreat_id,film_deposition_id,postprocess_id
1,1,1,,,1,1.0
2,1,1,,1.0,1,1.0
3,1,1,,2.0,1,1.0
4,1,1,,3.0,1,1.0
5,1,1,,4.0,1,1.0
6,1,1,,5.0,1,1.0
7,2,1,,6.0,1,1.0
8,2,1,,7.0,1,1.0
9,2,1,,8.0,1,1.0
10,2,1,,9.0,1,1.0
11,2,1,,10.0,1,1.0
12,3,2,,,2,2.0
13,4,2,,,2,2.0
14,5,2,,,2,2.0
15,6,2,,,2,2.0
16,7,2,,,2,2.0
17,8,2,,,2,2.0
18,9,2,,,2,2.0
19,10,2,,,2,2.0
20,11,2,,,2,2.0
21,12,3,,,3,3.0
22,13,3,,,3,3.0
23,14,3,,,3,3.0
24,14,4,,3.0,3,3.0
25,14,5,,3.0,3,3.0
26,14,6,,4.0,3,4.0
27,14,7,,4.0,3,4.0
28,14,8,,4.0,3,4.0
29,14,5,,3.0,4,5.0
30,14,9,,3.0,5,5.0
31,14,10,,4.0,3,4.0
32,15,11,,4.0,6,6.0
33,16,11,,4.0,6,6.0
34,17,11,,4.0,6,6.0
35,18,11,,4.0,6,6.0
36,19,11,,4.0,6,6.0
37,20,11,,4.0,6,6.0
38,21,11,,4.0,6,6.0
39,22,11,,4.0,6,6.0
40,23,12,,,7,1.0
41,23,12,,,7,7.0
42,23,12,,,7,8.0
43,23,12,,,7,9.0
44,24,13,,4.0,8,6.0
45,24,13,,4.0,9,6.0
46,25,13,,4.0,8,6.0
47,25,13,,4.0,9,6.0
48,26,14,,,10,10.0
49,27,15,,11.0,11,11.0
50,27,15,1.0,11.0,11,11.0
51,28,16,,4.0,12,12.0
52,29,16,,4.0,12,12.0
53,30,16,,4.0,12,12.0
54,31,16,,4.0,12,12.0
55,32,16,,4.0,12,12.0
56,28,16,,4.0,13,12.0
57,29,16,,4.0,13,12.0
58,30,16,,4.0,13,12.0
59,31,16,,4.0,13,12.0
60,32,16,,4.0,13,12.0
61,33,17,,,14,13.0
62,34,17,,,14,13.0
63,34,18,,,14,14.0
64,34,18,,,14,13.0
65,35,19,,,15,
66,36,19,,,15,
67,37,19,,,15,
68,38,19,,,15,
69,39,19,,,15,
70,40,20,,4.0,3,15.0
71,41,20,,4.0,3,15.0
72,42,21,,,3,16.0
73,42,22,,,3,16.0
74,43,23,,4.0,16,12.0
75,44,23,,4.0,16,12.0
76,45,23,,4.0,16,12.0
77,46,23,,4.0,16,12.0
78,47,23,,4.0,16,12.0
79,48,23,,4.0,16,12.0
80,49,23,,4.0,16,12.0
81,50,23,,4.0,16,12.0
82,51,23,,4.0,16,12.0
83,43,23,,4.0,17,12.0
84,44,23,,4.0,17,12.0
85,45,23,,4.0,17,12.0
86,46,23,,4.0,17,12.0
87,47,23,,4.0,17,12.0
88,48,23,,4.0,17,12.0
89,49,23,,4.0,17,12.0
90,50,23,,4.0,17,12.0
91,51,23,,4.0,17,12.0
92,52,24,,4.0,17,17.0
93,43,24,,4.0,17,17.0
94,44,24,,4.0,17,17.0
95,45,24,,4.0,17,17.0
96,46,24,,4.0,17,17.0
97,47,24,,4.0,17,17.0
98,48,24,,4.0,17,17.0
99,49,24,,4.0,17,17.0
100,50,24,,4.0,17,17.0
101,51,24,,4.0,17,17.0
102,52,24,,4.0,16,17.0
103,43,24,,4.0,16,17.0
104,44,24,,4.0,16,17.0
105,46,24,,4.0,16,17.0
106,47,24,,4.0,16,17.0
107,48,24,,4.0,16,17.0
108,50,24,,4.0,16,17.0
109,51,24,,4.0,16,17.0
110,53,2,,4.0,18,18.0
111,54,2,,4.0,18,18.0
112,55,2,,4.0,18,18.0
113,56,2,,4.0,18,18.0
114,57,2,,4.0,18,18.0
115,58,25,,4.0,19,
116,59,26,,15.0,20,19.0
117,59,26,,15.0,20,20.0
118,59,26,,15.0,20,21.0
119,59,26,,,20,21.0
120,60,27,,4.0,12,
121,60,27,,4.0,13,
122,61,27,,4.0,12,
123,61,27,,4.0,13,
124,62,27,,4.0,12,
125,62,27,,4.0,13,
126,63,1,,4.0,6,12.0
127,64,2,,,22,18.0
128,65,2,,,22,18.0
129,66,2,,,22,18.0
130,67,2,,,22,18.0
131,55,2,,,22,18.0
132,68,2,,,22,18.0
133,69,2,,,22,18.0
134,55,2,,,23,18.0
135,70,2,,4.0,23,18.0
136,71,2,,4.0,23,18.0
137,72,2,,4.0,23,18.0
138,73,2,,4.0,23,18.0
139,67,2,,4.0,23,18.0
140,74,2,,,23,18.0
141,75,2,,,23,18.0
142,76,2,,,23,18.0
143,77,2,,,23,18.0
144,74,2,,4.0,23,18.0
145,75,2,,4.0,23,18.0
146,76,2,,4.0,23,18.0
147,77,2,,4.0,23,18.0
148,55,2,,4.0,23,18.0
149,64,2,,,23,18.0
150,78,2,,,23,18.0
151,65,2,,,23,18.0
152,79,2,,,23,18.0
153,80,2,,,23,18.0
154,66,2,,,23,18.0
155,81,2,,,23,18.0
156,82,2,,,23,18.0
157,83,2,,,23,18.0
158,84,2,,,23,18.0
159,85,2,,,23,18.0
160,86,2,,,23,18.0
161,87,2,,,23,18.0
162,64,2,,4.0,23,18.0
163,78,2,,4.0,23,18.0
164,65,2,,4.0,23,18.0
165,79,2,,4.0,23,18.0
166,80,2,,4.0,23,18.0
167,66,2,,4.0,23,18.0
168,88,28,,,24,22.0
169,89,28,,,24,22.0
170,90,28,,,24,22.0
171,91,28,,,24,22.0
172,92,28,,,24,22.0
173,93,28,,,24,22.0
174,94,28,,,24,22.0
175,95,28,,,24,22.0
176,96,28,,,24,22.0
177,97,28,,,24,22.0
178,98,28,,,24,22.0
179,99,28,,,24,22.0
180,100,28,,,24,22.0
181,101,29,,15.0,24,23.0
182,101,30,,15.0,24,23.0
183,101,31,,15.0,24,23.0
184,102,29,,15.0,24,23.0
185,102,30,,15.0,24,23.0
186,102,31,,15.0,24,23.0
187,103,29,,15.0,24,23.0
188,103,30,,15.0,24,23.0
189,103,31,,15.0,24,23.0
190,104,29,,15.0,24,23.0
191,104,30,,15.0,24,23.0
192,104,31,,15.0,24,23.0
193,105,29,,15.0,24,23.0
194,105,30,,15.0,24,23.0
195,105,31,,15.0,24,23.0
196,106,29,,15.0,25,24.0
197,107,29,,15.0,26,24.0
198,108,29,,15.0,10,24.0
199,109,29,,15.0,10,24.0
200,110,29,,15.0,27,24.0
201,111,29,,15.0,25,24.0
202,112,32,,16.0,28,25.0
203,112,32,,16.0,29,25.0
204,112,32,,16.0,30,25.0
205,112,32,,16.0,31,25.0
206,112,32,,16.0,32,25.0
207,113,32,,16.0,28,25.0
208,113,32,,16.0,29,25.0
209,113,32,,16.0,30,25.0
210,113,32,,16.0,31,25.0
211,113,32,,16.0,32,25.0
212,114,33,,,33,26.0
213,115,33,,,33,26.0
214,116,33,,,33,26.0
215,117,33,,,33,26.0
216,118,33,,,33,26.0
217,119,34,,,34,27.0
218,120,34,,,34,27.0
219,121,34,,,34,27.0
220,122,34,,,34,27.0
221,123,34,,,34,27.0
222,124,34,,,34,27.0
223,125,34,,,34,27.0
224,119,35,,,34,27.0
225,126,35,,,34,27.0
226,121,35,,,34,27.0
227,122,35,,,34,27.0
228,123,35,,,34,27.0
229,124,35,,,34,27.0
230,125,35,,,34,27.0
231,127,36,,3.0,35,28.0
232,127,37,,3.0,35,28.0
233,128,38,,15.0,36,29.0
234,129,38,,15.0,36,29.0
235,130,38,,15.0,36,29.0
236,131,38,,15.0,36,29.0
237,132,38,,15.0,36,29.0
238,133,38,,15.0,36,29.0
239,134,38,,15.0,36,29.0
240,135,38,,15.0,36,29.0
241,136,38,,15.0,36,29.0
242,137,38,,15.0,36,29.0
243,138,38,,15.0,36,29.0
244,139,38,,15.0,36,29.0
245,140,38,,15.0,36,29.0
246,141,38,,15.0,36,29.0
247,142,39,,16.0,37,30.0
248,142,39,,16.0,38,30.0
249,143,39,,16.0,37,30.0
250,143,39,,16.0,38,30.0
251,144,40,,,34,31.0
252,145,41,,,39,32.0
253,146,41,,,39,32.0
254,144,41,,,39,32.0
255,112,41,,,39,32.0
256,147,42,,,3,
257,148,42,,,3,
258,149,43,,,40,31.0
259,150,43,,,40,31.0
260,128,44,,14.0,41,22.0
261,129,44,,14.0,41,22.0
262,130,44,,14.0,41,22.0
263,131,44,,14.0,41,22.0
264,132,44,,14.0,41,22.0
265,133,44,,14.0,41,22.0
266,134,44,,14.0,41,22.0
267,135,44,,14.0,41,22.0
268,136,44,,14.0,41,22.0
269,137,44,,14.0,41,22.0
270,138,44,,14.0,41,22.0
271,139,44,,14.0,41,22.0
272,140,44,,14.0,41,22.0
273,128,44,,14.0,42,22.0
274,129,44,,14.0,42,22.0
275,151,44,,14.0,42,22.0
276,131,44,,14.0,42,22.0
277,132,44,,14.0,42,22.0
278,133,44,,14.0,42,22.0
279,134,44,,14.0,42,22.0
280,135,44,,14.0,42,22.0
281,136,44,,14.0,42,22.0
282,137,44,,14.0,42,22.0
283,138,44,,14.0,42,22.0
284,139,44,,14.0,42,22.0
285,140,44,,14.0,42,22.0
286,152,45,,16.0,43,25.0
287,153,45,,16.0,43,25.0
288,154,45,,16.0,43,25.0
289,155,45,,16.0,43,25.0
290,156,45,,16.0,43,25.0
291,152,45,,16.0,44,25.0
292,153,45,,16.0,44,25.0
293,154,45,,16.0,44,25.0
294,155,45,,16.0,44,25.0
295,156,45,,16.0,44,25.0
296,152,45,,16.0,33,25.0
297,153,45,,16.0,33,25.0
298,154,45,,16.0,33,25.0
299,155,45,,16.0,33,25.0
300,156,45,,16.0,33,25.0
301,157,46,,3.0,45,33.0
302,112,32,,,46,25.0
303,112,32,,,47,25.0
304,112,32,,,48,25.0
305,112,32,,,49,25.0
