polymer_id,iupac_name,common_name,mw,mn,dispersity,meta.regioregularity,meta.sidechain
1,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,299.0,90.0,3.32,,C2H3-(C8H17)(C10H21)
2,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,292.2,74.9,3.9,,C2H3-(C8H17)(C10H21)
3,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,91.0,29.0,3.14,,C2H3-(C8H17)(C10H21)
4,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,344.0,71.0,4.85,,C2H3-(C8H17)(C10H21)
5,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,501.0,110.0,4.55,,C2H3-(C8H17)(C10H21)
6,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,199.0,55.0,3.62,,C2H3-(C8H17)(C10H21)
7,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,290.0,143.0,2.03,,C2H3-(C8H17)(C10H21)
8,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,100.0,67.0,3.0,,C2H3-(C8H17)(C10H21)
9,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,279.0,77.0,3.65,,C2H3-(C8H17)(C10H21)
10,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,102.0,43.0,2.0,,C4H7-(C10H21)2
11,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,250.0,,,,C2H3-(C8H17)(C10H21)
12,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,350.0,125.0,2.8,,C2H3-(C8H17)(C10H21)
13,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,50.0,20.0,2.5,,C2H3-(C8H17)(C10H21)
14,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,,106.0,,,C2H3-(C8H17)(C10H21)
15,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,,,,,C2H3-(C8H17)(C10H21)
16,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,104.0,20.0,5.2,,C4H7-(C10H21)2
17,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,292.0,143.0,2.03,,C2H3-(C8H17)(C10H21)
18,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,255.0,94.4,2.7,,C2H3-(C8H17)(C10H21)
19,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,193.5,50.0,3.87,,C2H3-(C8H17)(C10H21)
20,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,54.79,20.052,2.73,,C4H7-(C10H21)2
21,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,250.0,68.0,3.67,,C2H3-(C8H17)(C10H21)
22,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,204.0,66.0,3.1,,C2H3-(C8H17)(C10H21)
23,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,110.0,44.0,2.5,,C2H3-(C8H17)(C10H21)
24,"poly[2,5-(2-octyldodecyl)-3,6-diketopyrrolopyrrole-alt-5,5-(2,5-di(thien-2-yl)thieno [3,2-b]thiophene)]",DPP-DTT,152.0,55.0,2.76,,C2H3-(C8H17)(C10H21)
25,"poly{[N,N'-bis(2-octyldodecyl)naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5'-(2,2'-bithiophene)}",N2200,23.0,12.0,1.9,,
26,"poly{[N,N'-bis(2-octyldodecyl)naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5'-(2,2'-bithiophene)}",N2200,72.0,22.5,3.2,,
27,"poly{[N,N'-bis(2-octyldodecyl)naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5'-(2,2'-bithiophene)}",N2200,250.0,108.7,2.3,,
28,"poly{[N,N'-bis(2-octyldodecyl)naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5'-(2,2'-bithiophene)}",N2200,14.0,10.0,1.4,,
29,"poly{[N,N'-bis(2-octyldodecyl)naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5'-(2,2'-bithiophene)}",N2200,38.0,17.0,2.23,,
30,"poly{[N,N'-bis(2-octyldodecyl)naphthalene-1,4,5,8-bis(dicarboximide)-2,6-diyl]-alt-5,5'-(2,2'-bithiophene)}",N2200,91.0,30.0,3.03,,
