postprocess_step_id,treatment_type,params.temperature,params.time,params.environment
1,annealing,,,inert
2,annealing,160.0,1.0,air
3,annealing,160.0,0.5,inert
4,annealing,160.0,0.5,air
5,annealing,160.0,,inert
6,annealing,25.0,1.0,air
7,annealing,65.0,,inert
8,annealing,100.0,,inert
9,annealing,150.0,,inert
10,annealing,100.0,0.33,inert
11,annealing,25.0,,inert
12,annealing,25.0,,
13,annealing,100.0,1.0,air
14,annealing,25.0,1.0,inert
15,annealing,135.0,0.5,inert
16,annealing,200.0,1.0,inert
17,annealing,100.0,0.5,
18,annealing,56.0,0.16,air
19,annealing,100.0,2.0,inert
20,annealing,200.0,2.33,inert
21,annealing,320.0,2.33,inert
22,annealing,110.0,1.0,nitrogen
23,annealing,110.0,0.33,nitrogen
24,annealing,110.0,0.33,air
25,annealing,200.0,0.5,nitrogen
26,annealing,220.0,0.5,
27,annealing,120.0,0.5,nitrogen
28,annealing,110.0,,nitrogen
29,annealing,180.0,0.33,nitrogen
30,annealing,200.0,,nitrogen
31,annealing,110.0,5.0,
32,annealing,120.0,14.0,nitrogen
33,annealing,200.0,4.0,vacuum
34,annealing,10.0,110.0,
35,annealing,10.0,100.0,
36,annealing,0.166666667,25.0,
37,annealing,0.166666667,60.0,
38,annealing,0.166666667,90.0,
39,annealing,0.166666667,120.0,
40,annealing,0.166666667,150.0,
41,annealing,0.166666667,160.0,
42,annealing,0.166666667,170.0,
43,annealing,0.0,150.0,
44,annealing,0.083333333,150.0,
45,annealing,0.25,150.0,
46,annealing,0.333333333,150.0,
47,annealing,0.416666667,150.0,
48,annealing,0.5,150.0,
49,annealing,12.0,100.0,
50,annealing,1.0,125.0,
51,annealing,0.5,240.0,
52,annealing,1.0,150.0,
