solution_id,concentration
1,4.0
1,4.0
1,4.0
1,4.0
1,4.0
1,4.0
2,4.0
2,4.0
2,4.0
2,4.0
2,4.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,5.0
12,5.0
13,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
14,5.0
15,4.0
16,4.0
17,4.0
18,4.0
19,4.0
20,4.0
21,4.0
22,4.0
23,6.5
23,6.5
23,6.5
23,6.5
23,6.5
23,6.5
23,6.5
23,6.5
24,3.0
24,3.0
25,7.0
25,7.0
26,6.5
27,1.6
27,1.6
28,0.5
29,0.75
30,1.0
31,2.0
32,5.0
28,0.5
29,0.75
30,1.0
31,2.0
32,5.0
33,2.0
34,1.7
34,1.7
34,1.7
34,1.7
34,1.7
35,4.0
36,4.0
37,4.0
38,4.0
39,4.0
40,10.0
41,10.0
42,5.0
42,5.0
43,5.0
44,7.0
45,8.5
46,10.0
47,12.0
48,14.0
49,16.0
50,18.0
51,25.0
43,5.0
44,7.0
45,8.5
46,10.0
47,12.0
48,14.0
49,16.0
50,18.0
51,25.0
52,3.0
43,5.0
44,7.0
45,8.5
46,10.0
47,12.0
48,14.0
49,16.0
50,18.0
51,25.0
52,3.0
43,5.0
44,7.0
46,10.0
47,12.0
48,14.0
50,18.0
51,25.0
53,3.0
54,4.0
55,5.0
56,6.0
57,8.0
58,5.0
59,10.0
59,10.0
59,10.0
59,10.0
60,8.0
60,8.0
61,12.0
61,12.0
62,27.0
62,27.0
63,4.0
64,2.0
65,6.0
66,10.0
67,5.0
55,5.0
67,5.0
68,5.0
69,5.0
55,5.0
70,5.0
71,5.0
72,5.0
73,5.0
67,5.0
74,5.0
75,5.0
76,5.0
77,5.0
55,5.0
74,5.0
75,5.0
76,5.0
77,5.0
55,5.0
64,2.0
78,4.0
65,6.0
79,7.0
80,8.0
66,10.0
81,2.0
82,4.0
83,6.0
84,8.0
85,9.0
86,10.0
87,12.0
64,2.0
78,4.0
65,6.0
79,7.0
80,8.0
66,10.0
88,7.0
89,3.0
90,1.0
91,0.5
92,8.0
93,7.0
94,3.0
95,1.0
96,8.0
97,7.0
98,3.0
99,1.0
100,0.5
101,9.0
101,9.0
101,9.0
102,9.0
102,9.0
102,9.0
103,9.0
103,9.0
103,9.0
104,9.0
104,9.0
104,9.0
105,9.0
105,9.0
105,9.0
106,15.0
107,15.0
108,3.75
109,7.5
110,7.5
111,15.0
112,10.0
112,10.0
112,10.0
112,10.0
112,10.0
113,10.0
113,10.0
113,10.0
113,10.0
113,10.0
114,2.0
115,2.0
116,2.0
117,2.0
118,2.0
119,8.0
120,8.0
121,8.0
122,8.0
123,8.0
124,8.0
125,8.0
119,8.0
126,8.0
121,8.0
122,8.0
123,8.0
124,8.0
125,8.0
127,
127,
127,
127,
127,
127,
127,
127,
128,8.0
129,8.0
130,8.0
131,8.0
132,8.0
133,8.0
134,8.0
135,8.0
136,8.0
137,8.0
138,8.0
139,8.0
140,8.0
141,8.0
142,10.0
142,10.0
143,10.0
143,10.0
144,9.0
145,5.0
145,5.0
146,5.0
146,5.0
144,9.0
144,9.0
112,10.0
112,10.0
147,8.0
148,8.0
149,0.01
149,0.01
149,0.01
149,0.01
150,0.01
150,0.01
150,0.01
150,0.01
128,8.0
129,8.0
130,8.0
131,8.0
132,8.0
133,8.0
134,8.0
135,8.0
136,8.0
137,8.0
138,8.0
139,8.0
140,8.0
128,8.0
129,8.0
151,8.0
131,8.0
132,8.0
133,8.0
134,8.0
135,8.0
136,8.0
137,8.0
138,8.0
139,8.0
140,8.0
152,5.0
153,5.0
154,5.0
155,5.0
156,5.0
152,5.0
153,5.0
154,5.0
155,5.0
156,5.0
152,5.0
153,5.0
154,5.0
155,5.0
156,5.0
157,1.0
112,10.0
112,10.0
112,10.0
112,10.0
112,10.0
112,10.0
158,4.0
158,4.0
158,4.0
158,4.0
158,4.0
158,4.0
158,4.0
159,3.5
159,3.5
159,3.5
159,3.5
160,3.5
160,3.5
160,3.5
160,3.5
161,10.0
161,10.0
162,10.0
163,10.0
164,10.0
165,10.0
162,10.0
166,10.0
163,10.0
164,10.0
165,10.0
167,10.0
168,10.0
169,10.0
170,10.0
171,10.0
172,10.0
173,10.0
174,10.0
175,10.0
176,10.0
177,10.0
178,10.0
179,10.0
180,10.0
181,10.0
182,10.0
167,10.0
168,10.0
169,10.0
170,10.0
171,10.0
172,10.0
173,10.0
174,10.0
173,10.0
173,10.0
173,10.0
173,10.0
170,10.0
170,10.0
170,10.0
170,10.0
167,10.0
167,10.0
167,10.0
167,10.0
178,10.0
178,10.0
178,10.0
178,10.0
175,10.0
175,10.0
175,10.0
175,10.0
181,10.0
181,10.0
181,10.0
181,10.0
183,5.0
183,5.0
183,5.0
183,5.0
183,5.0
183,5.0
183,5.0
183,5.0
183,5.0
183,5.0
183,5.0
184,5.0
184,5.0
184,5.0
184,5.0
184,5.0
184,5.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
185,1.0
186,5.0
186,5.0
186,5.0
186,5.0
186,5.0
186,5.0
186,5.0
187,0.5
188,1.0
189,2.0
190,4.0
191,8.0
192,5.0
193,5.0
194,5.0
195,5.0
196,5.0
197,5.0
198,5.0
199,5.0
200,5.0
201,5.0
202,5.0
203,3.5
204,3.5
205,3.5
203,3.5
204,3.5
205,3.5
206,3.5
207,3.5
208,3.5
209,0.5
210,0.5
211,0.5
212,2.0
213,2.0
214,2.0
215,2.0
216,
216,
216,
216,
216,
216,
216,
216,
217,3.0
217,3.0
218,15.0
219,15.0
220,15.0
221,15.0
222,15.0
223,15.0
224,1.0
225,1.0
226,1.0
226,1.0
224,1.0
225,1.0
226,1.0
226,1.0
227,0.1
228,0.1
229,0.1
229,0.1
229,0.1
230,2.0
231,2.0
232,2.0
233,2.0
234,1.0
235,1.0
236,1.0
237,1.0
238,0.5
239,0.5
240,0.5
241,0.5
242,0.5
243,
243,
244,
244,
245,
245,
246,
246,
247,3.5
247,3.5
247,3.5
247,3.5
247,3.5
248,3.5
248,3.5
248,3.5
248,3.5
248,3.5
