solution_id,polymer_id,wt_frac
1,1,1.0
2,1,1.0
3,2,1.0
4,2,0.0083
4,96,0.9917
5,2,0.0040999999999999995
5,96,0.9959
6,2,0.0049
6,96,0.9951000000000001
7,2,0.0062
7,96,0.9937999999999999
8,2,0.0123
8,96,0.9876999999999999
9,2,0.024399999999999998
9,96,0.9756
10,2,0.16670000000000001
10,96,0.8332999999999999
11,2,0.5
11,96,0.5
12,3,1.0
13,4,1.0
14,5,1.0
15,6,1.0
16,6,0.8
16,97,0.2
17,6,0.6
17,97,0.4
18,6,0.4
18,97,0.6
19,6,0.2
19,97,0.8
20,6,0.4
20,98,0.6
21,6,0.4
21,99,0.6
22,6,0.4
22,100,0.6
23,3,1.0
24,7,1.0
25,7,1.0
26,8,1.0
27,9,1.0
28,10,1.0
29,10,1.0
30,10,1.0
31,10,1.0
32,10,1.0
33,11,1.0
34,11,0.59
34,101,0.41
35,12,1.0
36,12,1.0
37,13,1.0
38,12,0.25
38,102,0.75
39,13,0.25
39,102,0.75
40,14,1.0
40,103,
41,14,0.5
41,103,0.5
42,15,1.0
43,16,1.0
44,16,1.0
45,16,1.0
46,16,1.0
47,16,1.0
48,16,1.0
49,16,1.0
50,16,1.0
51,16,1.0
52,16,1.0
53,17,1.0
54,17,1.0
55,17,1.0
56,17,1.0
57,17,1.0
58,18,1.0
59,19,1.0
60,20,1.0
61,20,1.0
62,20,1.0
63,21,1.0
64,22,1.0
65,22,1.0
66,22,1.0
67,22,1.0
68,23,1.0
69,24,1.0
70,22,0.2
70,104,0.8
71,22,0.4
71,104,0.6
72,22,0.6
72,104,0.4
73,22,0.8
73,104,0.2
74,17,0.2
74,104,0.8
75,17,0.4
75,104,0.6
76,17,0.6
76,104,0.4
77,17,0.8
77,104,0.2
78,22,1.0
79,22,1.0
80,22,1.0
81,23,1.0
82,23,1.0
83,23,1.0
84,23,1.0
85,23,1.0
86,23,1.0
87,23,1.0
88,25,1.0
89,25,1.0
90,25,1.0
91,25,1.0
92,26,1.0
93,26,1.0
94,26,1.0
95,26,1.0
96,27,1.0
97,27,1.0
98,27,1.0
99,27,1.0
100,27,1.0
101,28,1.0
102,29,1.0
103,30,1.0
104,31,1.0
105,32,1.0
106,33,1.0
107,33,1.0
108,33,1.0
109,33,1.0
110,33,1.0
111,33,1.0
112,33,1.0
113,33,1.0
114,34,1.0
115,35,1.0
116,36,1.0
117,37,1.0
118,38,1.0
119,33,1.0
120,33,0.4
121,33,0.1
122,33,0.05
123,33,0.03
124,33,0.02
125,33,0.01
126,33,4.0
127,33,1.0
128,39,1.0
129,39,0.875
129,105,0.125
130,39,0.75
130,105,0.25
131,39,0.625
131,105,0.375
132,39,0.5
132,105,0.5
133,39,0.375
133,105,0.625
134,39,0.25
134,105,0.75
135,39,0.125
135,105,0.875
136,39,0.0625
136,105,0.9375
137,39,0.0375
137,105,0.9625
138,39,0.0125
138,105,0.9875
139,39,0.00625
139,105,0.99375
140,39,0.0025
140,105,0.9975
141,39,0.00125
141,105,0.99875
142,33,1.0
143,33,1.0
144,33,1.0
145,33,1.0
146,33,1.0
147,40,1.0
148,41,1.0
149,40,1.0
150,41,1.0
151,39,75.0
151,105,0.25
152,42,1.0
153,42,0.99
153,106,0.01
154,42,0.98
154,106,0.02
155,42,0.97
155,106,0.03
156,42,0.96
156,106,0.04
157,33,1.0
158,43,1.0
159,44,1.0
160,45,1.0
161,46,1.0
162,47,1.0
163,47,1.0
164,47,1.0
165,47,1.0
166,47,1.0
167,48,1.0
168,49,1.0
169,50,1.0
170,51,1.0
171,52,1.0
172,53,1.0
173,54,1.0
174,55,1.0
175,48,1.0
176,49,1.0
177,50,1.0
178,51,1.0
179,52,1.0
180,53,1.0
181,54,1.0
182,55,1.0
183,56,1.0
184,56,1.0
185,57,1.0
186,58,1.0
187,59,1.0
188,59,1.0
189,59,1.0
190,59,1.0
191,59,1.0
192,60,1.0
193,61,1.0
194,62,1.0
195,63,1.0
196,64,1.0
197,65,1.0
198,66,1.0
199,67,1.0
200,68,1.0
201,69,1.0
202,70,1.0
203,71,1.0
204,72,1.0
205,73,1.0
206,71,1.0
207,72,1.0
208,73,1.0
209,71,1.0
210,72,1.0
211,73,1.0
212,74,1.0
213,74,1.0
214,74,1.0
215,74,1.0
216,75,1.0
217,76,1.0
218,77,1.0
219,78,1.0
220,79,1.0
221,80,1.0
222,81,1.0
223,82,1.0
224,83,1.0
225,83,1.0
226,83,1.0
227,83,1.0
228,83,1.0
229,83,1.0
230,84,1.0
231,85,1.0
232,86,1.0
233,87,1.0
234,84,1.0
235,85,1.0
236,86,1.0
237,87,1.0
238,88,1.0
239,84,1.0
240,85,1.0
241,86,1.0
242,87,1.0
243,90,1.0
244,91,1.0
245,92,1.0
246,93,1.0
247,94,1.0
248,95,1.0
