solution_treatment_step_id,treatment_type,params.pubchem_cid,params.iupac_name,params.vol_frac_added,params.time,params.temp
1,poor_solvent,887.0,methanol,0.15,,
2,aging,,,,1460.0,25.0
3,aging,,,,0.5,70.0
4,aging,,,,30.0,70.0
5,poor_solvent,180.0,acetone,0.005,,
6,poor_solvent,180.0,acetone,0.01,,
7,poor_solvent,180.0,acetone,0.02,,
8,poor_solvent,180.0,acetone,0.03,,
9,poor_solvent,180.0,acetone,0.05,,
10,poor_solvent,6589.0,"2,3-dimethylbutane",0.005,,
11,poor_solvent,6589.0,"2,3-dimethylbutane",0.01,,
12,poor_solvent,6589.0,"2,3-dimethylbutane",0.02,,
13,poor_solvent,6589.0,"2,3-dimethylbutane",0.03,,
14,poor_solvent,6589.0,"2,3-dimethylbutane",0.05,,
15,poor_solvent,7892.0,2-methylpentane,0.05,,
16,poor_solvent,7892.0,2-methylpentane,0.1,,
17,poor_solvent,7892.0,2-methylpentane,0.15,,
18,poor_solvent,7892.0,2-methylpentane,0.2,,
19,poor_solvent,7892.0,2-methylpentane,0.3,,
20,poor_solvent,7892.0,2-methylpentane,0.4,,
21,aging,,,,12.0,
22,aging,,,,30.0,60.0
23,aging,,,,24.0,
24,aging,,,,76.0,
25,aging,,,,168.0,
26,poor_solvent,8028.0,tetrahydrofuran,0.176,,
27,aging,,,,48.0,25.0
